id,country_name,nick_name,description_name
1,Afghanistan,Team Melli,meaning “the National Team” (in Persian)
2,Albania,Kuqezijte,“the Red and Blacks” (in Albanian)
3,Algeria,Les Fennecs,The Desert Foxes (in French)
4,American Samoa,Au Filli,“the National Team” (in Samoan)
5,Andorra,la Seleccio Tricolor,“the Tricolor Selection” (in Catalan)
6,Angola,Os Palancas Negras,The Black Antelopes (in Portuguese)
7,Anguilla,"""the Rainbow Warriors"" or ""the Soccer Dolphins""",
8,Antigua and Barbuda,the Wadadi Boyz,Wadadi is a local dance
9,Argentina,la Albiceleste,“the White and Sky Blues” (in Spanish)
10,Armenia,Azgayin Havaqakan,“the National Team” in Armenia
11,Aruba,La Selección,“the Selection”
12,Australia,the Socceroos,a hybrid word from Soccer and Kangaroo (a native animal to Australia)
13,Austria,Wunderteam,"meaning the Wonder Team (also das Team, die Rot-Weiss-Roten - “the Red, White and Reds” in German)"
14,Azerbaijan,Odlar Yurdu Komandasi,“the Team from the Land of Fire” in Azeri
15,Bahamas,the Rake and Scrape Boys,named after a local dance
16,Bahrain,Al Theeb Al Ahmar,meaning “the Red Wolves” in Arabic
17,Bangladesh,Jatyia Dol,“the National Team” in Bengali
18,Barbados,Bajan Pride,Bajan is a popular team for citizens of Barbados
19,Belarus,Belyia kryly,"which means ""White wings"". Previously it was ""Nacionalnaya Sbornaya"" meaning “the National Team” in Belorussian."
20,Belgium,les Diables Rouges / Rode Duivels,meaning 'the Red Devils' (in French and Dutch)
21,Belize,The Jaguars,
22,Benin,Les Ecureuils,The Squirrels (in French)
23,Bermuda,the Gombey Warriors,after a traditional dance
24,Bhutan,the Yellow Dragons,also Druk XI (“the Dragons XI” in Dzongkha)
25,Bolivia,La Verde,La Verde means 'The Green' or to some 'The Green Pasture' because of one of the colors of the national flag.
26,Bosnia-Herzegovina,"Zmajevi 
(""The Dragons"")","""Zmajevi"" means ""The Dragons"". It is a popular nickname of all Bosnian sport players. In foreign media, the team is sometimes referred to as the Golden Lilies. Other names that have been used include: BH Representacija - “the National Team” (in Bosnian), and Zuto-Plavi (“the Blue and Yellows” in Bosnian)."
27,Botswana,"Dipitse (""The Zebras"")","meaning ""The Zebras"" in the Tswana lanuage"
28,Brazil,"Canarinho, or Seleção","Canarinho means 'little canary', and Seleção means The Selection/Team (in Portuguese). Other names that are sometimes used are Verde-Amarela (Green and Yellow)
Pentacampeões (Five Time Champions), and Os Tupis - The ""tupis"" (a brazilian indigenous group) "
29,British Virgin Islands,the Nature Boyz,
30,Brunei Darussalam,Tebuan,"meaning ""The Wasps"" or “the Hornets” in Malay."
31,Bulgaria,Lavovete,“the Lions” in Bulgarian
32,Burkina Faso,les Etalons,the Stallions” in French
33,Burundi,les Hirondelles – Intamba Mu Rugamba,“the Swallows” in French and Kirundi
34,Cambodia,Krom Chumreswcheit,“the National Team” in Khmer
35,Cameroon,Lions indomitables,meaning Indomitable Lions (in French)
36,Canada,the Canucks,"Canucks is a slang term for Canadians. Also Les Rouges, meaning 'The Reds'"
37,Cape Verde,Tubaroes Azuis,“the Blue Sharks” (in Portuguese). Also Crioulos (“the Creoles” in Portuguese)
38,Cayman Islands,Cayman Islands Team,"maybe ""The Turtles"""
39,Central African Republic,les Faons d’Ubangui,"“the Fwans of Ubangui”, a tributary of the Congo river, in French"
40,Chad,les Sao,after the Sao civilization that once inhabited part of Chad
41,Chile,La Roja,The Reds (in Spanish)
42,China,"Team China – Zhong Guo Dui,",also Team Dragon – Long Zhi Dui
43,Chinese Taipei,Zhong Hua Dui,“China Team” in Chinese
44,Colombia,Los Cafeteros,meaning The Coffee Growers in Spanish. Also “the Tricolors”
45,Comoros,les Coelecantes,"“the Coelecanths” in French, a prehistoric fish once believed to be extinct but which has reappeared off the coast of Comoros"
46,Congo,les Diables Rouges,“the Red Devils” in French
